gene,essential_type
AAMP,Early
ABCE1,Early
AFG3L2,Early
ALG11,Early
ALYREF,Early
ANAPC1,Early
ANAPC2,Early
ANAPC4,Early
ANAPC5,Early
ANKLE2,Early
AQR,Early
ARCN1,Early
ATP2A2,Early
ATP6V1E1,Early
BCAS2,Early
BRF2,Early
CCT7,Early
CDC123,Early
CDC20,Early
CDC6,Early
CDC7,Early
CDK11A,Early
CDK9,Early
CENPK,Early
CENPN,Early
CENPW,Early
CHEK1,Early
COPA,Early
COPB1,Early
COPZ1,Early
CPSF2,Early
CRNKL1,Early
CWC22,Early
DAD1,Early
DBR1,Early
DDX10,Early
DDX18,Early
DDX56,Early
DHX15,Early
DHX16,Early
DHX37,Early
DHX9,Early
DUT,Early
DYNC1I2,Early
EIF2B2,Early
EIF2B3,Early
EIF2B4,Early
EIF2B5,Early
EIF2S1,Early
EIF3F,Early
EIF3I,Early
EIF4E,Early
EIF5,Early
ERH,Early
EXOSC3,Early
FARSB,Early
GARS,Early
GBF1,Early
GINS1,Early
GINS2,Early
GRPEL1,Early
GTF2B,Early
GTF2E1,Early
GTF2E2,Early
HAUS4,Early
HAUS7,Early
HEATR1,Early
HIST1H2BC,Early
HIST1H2BF,Early
HNRNPC,Early
IGBP1,Early
INCENP,Early
INTS2,Early
INTS4,Early
ISCU,Early
KANSL2,Early
KARS,Early
KIF11,Early
KIN,Early
KPNB1,Early
LARS,Early
LSM5,Early
MAK16,Early
MED30,Early
MED4,Early
MED6,Early
MEPCE,Early
MTBP,Early
NAPA,Early
NARFL,Early
NCAPG,Early
NCBP1,Early
NEDD1,Early
NIFK,Early
NKAP,Early
NMD3,Early
NOL10,Early
NOP16,Early
NOP58,Early
NPLOC4,Early
NRDE2,Early
NRF1,Early
NSA2,Early
NSF,Early
NUF2,Early
NUP133,Early
NUP155,Early
NUP160,Early
NUS1,Early
NUTF2,Early
ORC6,Early
PAFAH1B1,Early
PAM16,Early
PCNA,Early
PDCD7,Early
PHB,Early
PHB2,Early
PISD,Early
PMF1-BGLAP,Early
POLA2,Early
POLE,Early
POLR1B,Early
POLR2B,Early
POLR2C,Early
POLR2D,Early
POLR2E,Early
POLR2H,Early
POLR2I,Early
POLR2L,Early
POLR3B,Early
PPP1CB,Early
PRC1,Early
PRELID1,Early
PRPF38A,Early
PRPF4,Early
PRPF40A,Early
PRPF6,Early
PSMA1,Early
PSMA2,Early
PSMA3,Early
PSMA4,Early
PSMA5,Early
PSMA6,Early
PSMB6,Early
PSMB7,Early
PSMC6,Early
PSMD1,Early
PSMD14,Early
PSMD6,Early
RABGGTB,Early
RACGAP1,Early
RBM17,Early
RBM25,Early
RBMX,Early
RBX1,Early
RIOK2,Early
RPA1,Early
RPL14,Early
RPL19,Early
RPL23A,Early
RPL26,Early
RPL27A,Early
RPL30,Early
RPL31,Early
RPL35A,Early
RPL36A,Early
RPL37A,Early
RPL4,Early
RPL5,Early
RPL6,Early
RPL7,Early
RPLP1,Early
RPLP2,Early
RPS12,Early
RPS13,Early
RPS14,Early
RPS15,Early
RPS16,Early
RPS18,Early
RPS2,Early
RPS21,Early
RPS23,Early
RPS24,Early
RPS3,Early
RPS4X,Early
RPS5,Early
RPS6,Early
RPS7,Early
RRM2,Early
RRN3,Early
RSL1D1,Early
SAP30BP,Early
SCFD1,Early
SDAD1,Early
SDE2,Early
SF3A1,Early
SF3A2,Early
SF3A3,Early
SF3B2,Early
SFPQ,Early
