gRNA,Gene,Plasmid,Rep1,Rep2,Rep3
sgA1CF_1,A1CF,236,344,362,876
sgA1CF_2,A1CF,481,329,360,559
sgA1CF_3,A1CF,203,427,240,346
sgA1CF_4,A1CF,568,750,868,700
sgA1CF_5,A1CF,198,551,256,310
sgA1CF_6,A1CF,134,393,228,176
sgA1CF_7,A1CF,253,585,208,267
sgA1CF_8,A1CF,598,833,420,471
sgA1CF_9,A1CF,134,23,124,30
sgA1CF_10,A1CF,1004,439,441,591
sgA2ML1_1,A2ML1,460,827,558,254
sgA2ML1_2,A2ML1,581,239,548,515
sgA2ML1_3,A2ML1,374,608,544,778
sgA2ML1_4,A2ML1,239,0,5,0
sgA2ML1_5,A2ML1,261,69,47,53
sgA2ML1_6,A2ML1,273,481,305,1138
sgA2ML1_7,A2ML1,300,247,454,358
sgA2ML1_8,A2ML1,284,377,435,383
sgA2ML1_9,A2ML1,593,622,541,737
sgA2ML1_10,A2ML1,328,443,424,726
sgA4GALT_1,A4GALT,454,160,49,42
sgA4GALT_2,A4GALT,275,273,383,234
sgA4GALT_3,A4GALT,567,1519,817,729
sgA4GALT_4,A4GALT,145,89,79,181
sgA4GALT_5,A4GALT,1047,728,621,803
sgA4GALT_6,A4GALT,291,25,18,26
sgA4GALT_7,A4GALT,843,814,909,1563
sgA4GALT_8,A4GALT,253,264,175,161
sgA4GALT_9,A4GALT,545,282,127,270
sgA4GALT_10,A4GALT,1558,2510,1586,1512
sgA4GNT_1,A4GNT,307,157,137,149
sgA4GNT_2,A4GNT,458,709,280,575
sgA4GNT_3,A4GNT,190,330,350,151
sgA4GNT_4,A4GNT,271,213,204,96
sgA4GNT_5,A4GNT,202,244,277,407
sgA4GNT_6,A4GNT,224,207,257,217
sgA4GNT_7,A4GNT,854,721,862,1382
sgA4GNT_8,A4GNT,299,349,234,579
sgA4GNT_9,A4GNT,511,618,303,519
sgA4GNT_10,A4GNT,276,119,211,471
sgAAAS_1,AAAS,266,87,215,123
sgAAAS_2,AAAS,445,617,401,550
sgAAAS_3,AAAS,539,444,329,362
sgAAAS_4,AAAS,626,680,351,611
sgAAAS_5,AAAS,542,121,115,111
sgAAAS_6,AAAS,377,375,281,629
sgAAAS_7,AAAS,346,363,301,366
sgAAAS_8,AAAS,753,240,402,265
sgAAAS_9,AAAS,498,113,224,920
sgAAAS_10,AAAS,241,9,22,3
sgAACS_1,AACS,658,765,661,1524
sgAACS_2,AACS,103,223,160,106
sgAACS_3,AACS,234,211,142,167
sgAACS_4,AACS,385,214,507,853
sgAACS_5,AACS,410,235,541,753
sgAACS_6,AACS,382,525,405,196
sgAACS_7,AACS,649,894,679,914
sgAACS_8,AACS,352,554,409,251
sgAACS_9,AACS,592,545,674,920
sgAACS_10,AACS,317,492,421,440
sgAADAC_1,AADAC,477,227,465,505
sgAADAC_2,AADAC,432,262,394,267
sgAADAC_3,AADAC,720,846,718,960
sgAADAC_4,AADAC,317,353,188,288
sgAADAC_5,AADAC,243,607,530,192
sgAADAC_6,AADAC,216,73,41,70
sgAADAC_7,AADAC,219,296,189,318
sgAADAC_8,AADAC,499,361,470,938
sgAADAC_9,AADAC,398,253,399,157
sgAADAC_10,AADAC,234,200,403,451
sgAADACL3_1,AADACL3,249,363,93,428
sgAADACL3_2,AADACL3,278,170,271,753
sgAADACL3_3,AADACL3,327,778,757,805
sgAADACL3_4,AADACL3,372,242,271,368
sgAADACL3_5,AADACL3,305,446,335,411
sgAADACL3_6,AADACL3,539,338,274,187
sgAADACL3_7,AADACL3,584,1255,1085,848
sgAADACL3_8,AADACL3,433,215,449,493
sgAADACL3_9,AADACL3,297,525,396,528
sgAADACL3_10,AADACL3,314,363,346,190
sgAAMDC_1,AAMDC,273,273,233,279
sgAAMDC_2,AAMDC,390,84,178,449
sgAAMDC_3,AAMDC,520,426,442,443
sgAAMDC_4,AAMDC,199,350,175,218
sgAAMDC_5,AAMDC,407,349,671,586
sgAAMDC_6,AAMDC,695,625,311,755
sgAAMDC_7,AAMDC,180,101,174,81
sgAAMDC_8,AAMDC,200,226,257,422
sgAAMDC_9,AAMDC,253,119,265,326
sgAAMDC_10,AAMDC,390,723,407,426
sgAAMP_1,AAMP,855,81,132,105
sgAAMP_2,AAMP,199,0,24,3
sgAAMP_3,AAMP,127,105,96,315
sgAAMP_4,AAMP,345,476,408,210
sgAAMP_5,AAMP,256,32,3,32
sgAAMP_6,AAMP,299,159,87,146
sgAAMP_7,AAMP,236,16,1,4
sgAAMP_8,AAMP,621,74,70,1
sgAAMP_9,AAMP,750,28,39,1
sgAAMP_10,AAMP,427,68,90,175
sgAANAT_1,AANAT,628,410,676,1166
sgAANAT_2,AANAT,286,134,139,162
sgAANAT_3,AANAT,302,288,129,256
sgAANAT_4,AANAT,640,609,643,698
sgAANAT_5,AANAT,485,662,454,414
sgAANAT_6,AANAT,206,258,346,307
sgAANAT_7,AANAT,673,565,228,526
sgAANAT_8,AANAT,521,638,533,717
sgAANAT_9,AANAT,255,300,428,611
sgAANAT_10,AANAT,690,716,923,649
sgAAR2_1,AAR2,80,132,41,242
sgAAR2_2,AAR2,308,408,131,449
sgAAR2_3,AAR2,611,1495,746,874
sgAAR2_4,AAR2,314,389,457,696
sgAAR2_5,AAR2,229,236,263,367
sgAAR2_6,AAR2,311,211,293,495
sgAAR2_7,AAR2,439,578,442,670
sgAAR2_8,AAR2,267,460,338,537
sgAAR2_9,AAR2,1086,1091,1160,1046
sgAAR2_10,AAR2,575,482,649,921
sgAASDHPPT_1,AASDHPPT,488,440,403,399
sgAASDHPPT_2,AASDHPPT,542,596,374,346
sgAASDHPPT_3,AASDHPPT,237,256,95,101
sgAASDHPPT_4,AASDHPPT,240,155,97,131
sgAASDHPPT_5,AASDHPPT,412,529,143,70
sgAASDHPPT_6,AASDHPPT,614,180,401,470
sgAASDHPPT_7,AASDHPPT,287,187,116,445
sgAASDHPPT_8,AASDHPPT,308,513,225,298
sgAASDHPPT_9,AASDHPPT,1044,1438,851,1107
sgAASDHPPT_10,AASDHPPT,309,191,117,214
sgAATK_1,AATK,688,1034,760,845
sgAATK_2,AATK,290,281,332,196
sgAATK_3,AATK,595,683,601,617
sgAATK_4,AATK,859,998,650,993
sgAATK_5,AATK,242,255,393,147
sgAATK_6,AATK,304,473,288,262
sgAATK_7,AATK,309,15,80,163
sgAATK_8,AATK,409,382,237,345
sgAATK_9,AATK,197,149,231,170
sgAATK_10,AATK,357,432,430,767
sgABCA10_1,ABCA10,135,182,44,203
sgABCA10_2,ABCA10,382,664,326,995
sgABCA10_3,ABCA10,243,221,267,381
sgABCA10_4,ABCA10,334,377,351,249
sgABCA10_5,ABCA10,391,256,459,1000
sgABCA10_6,ABCA10,374,589,328,420
sgABCA10_7,ABCA10,618,473,600,409
sgABCA10_8,ABCA10,140,225,200,236
sgABCA10_9,ABCA10,153,275,220,263
sgABCA10_10,ABCA10,520,363,553,304
sgABCA5_1,ABCA5,266,531,201,318
sgABCA5_2,ABCA5,153,216,123,152
sgABCA5_3,ABCA5,224,321,291,192
sgABCA5_4,ABCA5,131,95,17,387
sgABCA5_5,ABCA5,134,97,90,224
sgABCA5_6,ABCA5,395,432,387,426
sgABCA5_7,ABCA5,268,267,218,74
sgABCA5_8,ABCA5,249,443,275,358
sgABCA5_9,ABCA5,522,556,849,1151
sgABCA5_10,ABCA5,430,893,471,453
sgABCB5_1,ABCB5,157,116,190,216
sgABCB5_2,ABCB5,163,13,54,156
sgABCB5_3,ABCB5,317,318,269,295
sgABCB5_4,ABCB5,120,186,195,150
sgABCB5_5,ABCB5,584,602,982,602
sgABCB5_6,ABCB5,558,359,314,573
sgABCB5_7,ABCB5,167,184,147,355
sgABCB5_8,ABCB5,171,236,308,328
sgABCB5_9,ABCB5,474,553,405,724
sgABCB5_10,ABCB5,477,533,549,332
sgABCB6_1,ABCB6,612,648,351,358
sgABCB6_2,ABCB6,550,662,593,411
sgABCB6_3,ABCB6,625,647,452,879
sgABCB6_4,ABCB6,1121,1917,1424,2194
sgABCB6_5,ABCB6,223,253,252,244
sgABCB6_6,ABCB6,158,217,170,87
sgABCB6_7,ABCB6,207,175,286,35
sgABCB6_8,ABCB6,272,562,548,283
sgABCB6_9,ABCB6,275,435,333,265
sgABCB6_10,ABCB6,193,263,385,433
sgABCB8_1,ABCB8,314,490,412,501
sgABCB8_2,ABCB8,763,646,546,852
sgABCB8_3,ABCB8,129,235,390,175
sgABCB8_4,ABCB8,523,374,614,561
sgABCB8_5,ABCB8,848,1062,804,1002
sgABCB8_6,ABCB8,421,280,321,327
sgABCB8_7,ABCB8,382,387,108,226
sgABCB8_8,ABCB8,559,172,116,303
sgABCB8_9,ABCB8,613,287,390,958
sgABCB8_10,ABCB8,640,1163,857,678
sgABCC10_1,ABCC10,420,404,391,583
sgABCC10_2,ABCC10,372,110,278,425
sgABCC10_3,ABCC10,443,195,238,123
sgABCC10_4,ABCC10,424,724,456,751
sgABCC10_5,ABCC10,1542,1607,1574,1921
sgABCC10_6,ABCC10,340,607,489,333
sgABCC10_7,ABCC10,598,1023,464,871
sgABCC10_8,ABCC10,213,183,114,163
sgABCC10_9,ABCC10,349,410,59,220
sgABCC10_10,ABCC10,179,103,126,324
sgABCC11_1,ABCC11,276,391,252,328
sgABCC11_2,ABCC11,316,472,330,260
sgABCC11_3,ABCC11,289,452,307,583
sgABCC11_4,ABCC11,669,911,947,1523
sgABCC11_5,ABCC11,485,641,486,676
sgABCC11_6,ABCC11,336,238,187,428
sgABCC11_7,ABCC11,205,287,151,260
sgABCC11_8,ABCC11,386,697,434,204
sgABCC11_9,ABCC11,226,187,192,299
sgABCC11_10,ABCC11,208,80,293,423
sgABCC12_1,ABCC12,406,330,236,708
sgABCC12_2,ABCC12,667,807,492,1158
sgABCC12_3,ABCC12,415,417,322,523
sgABCC12_4,ABCC12,0,0,0,0
sgABCC12_5,ABCC12,226,238,244,319
sgABCC12_6,ABCC12,0,0,0,0
