gRNA,Gene,Plasmid,Rep1,Rep2,Rep3
A1CF_36947,A1CF,445,879,891,541
A1CF_36948,A1CF,361,254,355,272
A1CF_36949,A1CF,539,657,1040,968
A1CF_36950,A1CF,569,379,467,610
A2ML1_61349,A2ML1,469,393,240,263
A2ML1_61350,A2ML1,271,770,568,296
A2ML1_61351,A2ML1,321,131,426,751
A2ML1_61352,A2ML1,397,341,336,421
A4GALT_39715,A4GALT,401,301,559,382
A4GALT_39716,A4GALT,346,313,363,416
A4GALT_39717,A4GALT,522,451,858,425
A4GALT_39718,A4GALT,94,268,123,165
A4GNT_37955,A4GNT,227,237,273,290
A4GNT_37956,A4GNT,397,822,1061,511
A4GNT_37957,A4GNT,277,562,381,293
A4GNT_37958,A4GNT,213,351,549,249
AAAS_21269,AAAS,250,398,594,283
AAAS_21270,AAAS,453,1043,798,719
AAAS_21271,AAAS,300,269,260,272
AAAS_21272,AAAS,156,107,122,44
AACS_48543,AACS,377,225,243,163
AACS_48544,AACS,592,735,835,979
AACS_48545,AACS,341,443,671,397
AACS_48546,AACS,266,101,177,241
AADAC_21,AADAC,688,799,1044,626
AADAC_22,AADAC,569,373,314,487
AADAC_23,AADAC,640,476,744,515
AADAC_24,AADAC,392,240,430,157
AADACL3_59221,AADACL3,401,487,434,503
AADACL3_59222,AADACL3,182,129,256,160
AADACL3_59223,AADACL3,474,426,665,441
AADACL3_59224,AADACL3,387,375,533,305
AAMDC_36255,AAMDC,255,282,176,134
AAMDC_36256,AAMDC,333,428,215,586
AAMDC_36257,AAMDC,438,502,573,476
AAMDC_36258,AAMDC,151,240,489,179
AAMP_25,AAMP,730,40,320,104
AAMP_26,AAMP,510,302,504,430
AAMP_27,AAMP,350,33,66,38
AAMP_28,AAMP,280,196,238,85
AANAT_29,AANAT,582,799,827,644
AANAT_30,AANAT,768,1107,1330,1132
AANAT_31,AANAT,527,485,408,479
AANAT_32,AANAT,923,717,1041,822
AAR2_34255,AAR2,673,938,1139,839
AAR2_34256,AAR2,610,748,702,443
AAR2_34257,AAR2,372,606,461,434
AAR2_34258,AAR2,701,833,681,438
AASDHPPT_46927,AASDHPPT,652,487,884,266
AASDHPPT_46928,AASDHPPT,148,126,38,16
AASDHPPT_46929,AASDHPPT,731,1138,1092,870
AASDHPPT_46930,AASDHPPT,440,528,333,355
AATK_25397,AATK,878,1003,1375,980
AATK_25398,AATK,652,973,666,952
AATK_25399,AATK,290,306,257,118
AATK_25400,AATK,504,695,416,631
ABCA10_27825,ABCA10,631,732,591,689
ABCA10_27826,ABCA10,609,502,770,687
ABCA10_27827,ABCA10,131,111,64,166
ABCA10_27828,ABCA10,160,187,88,164
ABCA5_32859,ABCA5,293,127,167,152
ABCA5_32860,ABCA5,226,286,310,217
ABCA5_32861,ABCA5,86,130,229,124
ABCA5_32862,ABCA5,253,325,119,222
ABCB5_69133,ABCB5,0,1,2,0
ABCB5_69134,ABCB5,602,607,795,747
ABCB5_69135,ABCB5,499,853,608,551
ABCB5_69136,ABCB5,235,205,261,139
ABCB6_26865,ABCB6,322,302,147,363
ABCB6_26866,ABCB6,696,929,827,791
ABCB6_26867,ABCB6,284,272,359,512
ABCB6_26868,ABCB6,501,701,798,618
ABCB8_30439,ABCB8,358,209,158,192
ABCB8_30440,ABCB8,292,541,384,582
ABCB8_30441,ABCB8,290,433,541,447
ABCB8_30442,ABCB8,130,205,61,75
ABCC10_55151,ABCC10,317,288,187,183
ABCC10_55152,ABCC10,259,324,335,192
ABCC10_55153,ABCC10,311,334,416,411
ABCC10_55154,ABCC10,169,290,392,221
ABCC11_54807,ABCC11,662,755,677,736
ABCC11_54808,ABCC11,415,394,489,483
ABCC11_54809,ABCC11,560,443,404,489
ABCC11_54810,ABCC11,245,259,159,231
ABCC12_56725,ABCC12,690,940,1124,759
ABCC12_56726,ABCC12,946,873,1226,697
ABCC12_56727,ABCC12,685,663,661,461
ABCC12_56728,ABCC12,777,1200,941,1008
ABCC4_27541,ABCC4,577,920,1022,600
ABCC4_27542,ABCC4,265,197,266,269
ABCC4_27543,ABCC4,238,291,231,164
ABCC4_27544,ABCC4,235,206,271,166
ABCC5_26861,ABCC5,454,770,653,411
ABCC5_26862,ABCC5,334,198,348,507
ABCC5_26863,ABCC5,284,419,523,208
ABCC5_26864,ABCC5,162,168,132,38
ABCC9_26873,ABCC9,310,218,294,215
ABCC9_26874,ABCC9,392,412,312,392
ABCC9_26875,ABCC9,315,467,593,481
ABCC9_26876,ABCC9,517,403,559,374
ABCD1_597,ABCD1,477,529,724,289
ABCD1_598,ABCD1,465,616,434,283
ABCD1_599,ABCD1,484,357,288,346
ABCD1_600,ABCD1,592,784,1230,1048
ABCD2_637,ABCD2,619,421,927,743
ABCD2_638,ABCD2,469,571,595,776
ABCD2_639,ABCD2,589,762,810,334
ABCD2_640,ABCD2,669,711,604,917
ABCD3_15573,ABCD3,401,227,359,426
ABCD3_15574,ABCD3,479,404,717,454
ABCD3_15575,ABCD3,261,518,329,178
ABCD3_15576,ABCD3,303,105,262,106
ABCD4_15577,ABCD4,225,128,288,318
ABCD4_15578,ABCD4,326,341,249,336
ABCD4_15579,ABCD4,336,357,485,518
ABCD4_15580,ABCD4,315,413,518,202
ABCF1_57,ABCF1,640,9,16,36
ABCF1_58,ABCF1,634,108,133,140
ABCF1_59,ABCF1,394,90,111,30
ABCF1_60,ABCF1,407,11,22,7
ABCF3_42323,ABCF3,381,691,744,396
ABCF3_42324,ABCF3,565,792,843,849
ABCF3_42325,ABCF3,469,425,333,304
ABCF3_42326,ABCF3,294,569,585,324
ABCG1_25381,ABCG1,241,177,579,314
ABCG1_25382,ABCG1,328,716,566,688
ABCG1_25383,ABCG1,567,652,631,381
ABCG1_25384,ABCG1,142,191,135,170
ABCG2_24809,ABCG2,899,1081,897,894
ABCG2_24810,ABCG2,548,761,380,432
ABCG2_24811,ABCG2,595,835,959,1041
ABCG2_24812,ABCG2,893,613,641,853
ABCG4_47459,ABCG4,842,1193,1377,1003
ABCG4_47460,ABCG4,80,184,51,41
ABCG4_47461,ABCG4,724,782,743,847
ABCG4_47462,ABCG4,743,1095,942,1291
ABCG5_47583,ABCG5,326,487,430,434
