gRNA,Gene,Plasmid,Rep1,Rep2,Rep3
A1CF_CCDS7241.1_ex6_10:52588014-52588037:-_5-1,A1CF,234,224,464,340
A1CF_CCDS7241.1_ex7_10:52595962-52595985:-_5-2,A1CF,3,4,0,0
A1CF_CCDS7241.1_ex7_10:52596023-52596046:+_5-3,A1CF,472,869,321,324
A1CF_CCDS7241.1_ex9_10:52603761-52603784:+_5-4,A1CF,20,0,34,0
A1CF_CCDS7241.1_ex9_10:52603844-52603867:-_5-5,A1CF,851,908,742,499
A2ML1_CCDS8596.2_ex2_12:8976351-8976374:+_5-1,A2ML1,850,991,657,1039
A2ML1_CCDS8596.2_ex8_12:8990981-8991004:-_5-2,A2ML1,306,674,304,601
A2ML1_CCDS8596.2_ex10_12:8994081-8994104:-_5-3,A2ML1,136,286,208,204
A2ML1_CCDS8596.2_ex11_12:8995845-8995868:-_5-4,A2ML1,726,1438,1092,1120
A2ML1_CCDS8596.2_ex11_12:8995893-8995916:+_5-5,A2ML1,228,483,355,243
A4GALT_CCDS14041.1_ex0_22:43089421-43089444:+_5-1,A4GALT,905,872,942,1181
A4GALT_CCDS14041.1_ex0_22:43089467-43089490:-_5-2,A4GALT,705,857,987,1048
A4GALT_CCDS14041.1_ex0_22:43089524-43089547:-_5-3,A4GALT,610,740,907,707
A4GALT_CCDS14041.1_ex0_22:43089610-43089633:-_5-4,A4GALT,373,360,350,320
A4GALT_CCDS14041.1_ex0_22:43089831-43089854:+_5-5,A4GALT,324,324,250,404
A4GNT_CCDS3097.1_ex0_3:137843639-137843662:+_5-1,A4GNT,411,411,880,495
A4GNT_CCDS3097.1_ex1_3:137849724-137849747:+_5-2,A4GNT,239,379,261,267
A4GNT_CCDS3097.1_ex1_3:137849755-137849778:+_5-3,A4GNT,387,187,206,210
A4GNT_CCDS3097.1_ex1_3:137849873-137849896:+_5-4,A4GNT,312,1019,673,252
A4GNT_CCDS3097.1_ex1_3:137849975-137849998:-_5-5,A4GNT,371,391,555,634
AAAS_CCDS53797.1_ex8_12:53703443-53703466:-_5-1,AAAS,351,441,414,483
AAAS_CCDS53797.1_ex11_12:53709154-53709177:+_5-2,AAAS,293,419,416,549
AAAS_CCDS53797.1_ex11_12:53709177-53709200:-_5-3,AAAS,2,0,0,0
AAAS_CCDS53797.1_ex13_12:53714423-53714446:-_5-4,AAAS,282,567,315,242
AAAS_CCDS53797.1_ex13_12:53714441-53714464:+_5-5,AAAS,571,683,394,402
AACS_CCDS9263.1_ex1_12:125558424-125558447:+_5-1,AACS,35,99,2,63
AACS_CCDS9263.1_ex2_12:125561055-125561078:+_5-2,AACS,710,1095,1561,828
AACS_CCDS9263.1_ex4_12:125576051-125576074:-_5-3,AACS,460,341,656,429
AACS_CCDS9263.1_ex7_12:125591776-125591799:-_5-4,AACS,847,1530,1333,1365
